TagPlaceID,HabitatType,HabitatCover
1,Artificial Structure,Open
2,Hedgerows,Open
3,Hedgerows,Open
4,Artificial Structure,Closed
5,Hedgerows,Open
6,Amenity Grassland,Open
7,Broadleaved Woodland,Closed
8,Artificial Structure,Open
9,Amenity Grassland,Open
10,Hedgerows,Open
11,Amenity Grassland,Open
12,Dense Scrub,Closed
13,Broadleaved Woodland,Closed
14,Dense Scrub,Closed
15,Tall Herbs,Open
16,Amenity Grassland,Open
17,Hedgerows,Open
18,Broadleaved Woodland,Closed
19,Dense Scrub,Closed
20,Hedgerows,Open
21,Amenity Grassland,Open
22,Amenity Grassland,Open
23,Artificial Structure,Open
24,Amenity Grassland,Open
25,Dense Scrub,Open
26,Dense Scrub,Closed
27,Broadleaved Woodland,Closed
29,Hedgerows,Closed
30,Dense Scrub,Closed
31,Broadleaved Woodland,Open
32,Hedgerows,Closed
33,Broadleaved Woodland,Closed
34,Tall Herbs,Open
35,Tall Herbs,Open
36,Amenity Grassland,Open
37,Artificial Structure,Open
38,Dense Scrub,Closed
39,Dense Scrub,Closed
40,Dense Scrub,Open
41,Broadleaved Woodland,Closed
42,Broadleaved Woodland,Closed
43,Broadleaved Woodland,Open
44,Dense Scrub,Open
45,Hedgerows,Open
46,Hedgerows,Closed
47,Amenity Grassland,Open
48,Amenity Grassland,Open
49,Artificial Structure,Open
52,Tall Herbs,Open
53,Broadleaved Woodland,Open
54,Broadleaved Woodland,Closed
57,Broadleaved Woodland,Closed
58,Artificial Structure,Closed
59,Dense Scrub,Closed
60,Tall Herbs,Open
61,Amenity Grassland,Open
62,Tall Herbs,Open
63,Amenity Grassland,Open
64,Artificial Structure,Closed
65,Broadleaved Woodland,Closed
66,Broadleaved Woodland,Closed
67,Broadleaved Woodland,Open
68,Artificial Structure,Open
69,Dense Scrub,Open
70,Broadleaved Woodland,Closed
71,Broadleaved Woodland,Closed
72,Broadleaved Woodland,Open
73,Broadleaved Woodland,Closed
74,Broadleaved Woodland,Open
75,Dense Scrub,Closed
76,Tall Herbs,Open
77,Dense Scrub,Open
78,Hedgerows,Open
79,Tall Herbs,Open
80,Tall Herbs,Open
81,Hedgerows,Open
82,Artificial Structure,Closed
83,Broadleaved Woodland,Closed
84,Tall Herbs,Open
85,Dense Scrub,Closed
86,Dense Scrub,Closed
87,Broadleaved Woodland,Closed
88,Hedgerows,Closed
89,Artificial Structure,Closed
90,Broadleaved Woodland,Closed
91,Broadleaved Woodland,Closed
92,Tall Herbs,Open
93,Hedgerows,Open
94,Artificial Structure,Closed
95,Dense Scrub,Closed
96,Hedgerows,Open
97,Amenity Grassland,Open
98,Amenity Grassland,Open
99,Hedgerows,Closed
100,Dense Scrub,Closed
101,Broadleaved Woodland,Closed
102,Artificial Structure,Closed
103,Artificial Structure,Closed
104,Artificial Structure,Closed
105,Hedgerows,Open
106,Broadleaved Woodland,Closed
107,Dense Scrub,Closed
108,Artificial Structure,Closed
109,Dense Scrub,Closed
110,Tall Herbs,Closed
111,Broadleaved Woodland,Closed
112,Dense Scrub,Closed
113,Tall Herbs,Open
114,Tall Herbs,Open
115,Artificial Structure,Open
116,Broadleaved Woodland,Closed
117,Hedgerows,Closed
118,Artificial Structure,Closed
119,Hedgerows,Open
120,Dense Scrub,Closed
125,Dense Scrub,Closed
126,Hedgerows,Open
127,Broadleaved Woodland,Closed
128,Dense Scrub,Closed
133,Dense Scrub,Closed
134,Tall Herbs,Open
135,Amenity Grassland,Open
136,Dense Scrub,Closed
137,Hedgerows,Open
138,Broadleaved Woodland,Closed
139,Broadleaved Woodland,Closed
140,Broadleaved Woodland,Closed
141,Artificial Structure,Closed
142,Dense Scrub,Closed
143,Hedgerows,Closed
144,Dense Scrub,Closed
145,Dense Scrub,Closed
146,Tall Herbs,Open
147,Amenity Grassland,Open
149,Hedgerows,Closed
150,Tall Herbs,Open
